sitename,county,longitude,latitude,sid
Matsu,Lienchiang County,119.949875,26.160469,121
Qianjin,Kaohsiung City,0.0,0.0,122
Taoyuan (Yangmei),Taoyuan City,121.184472374459,24.9241666691556,123
Qianjin,Kaohsiung City,120.2865,22.63388889,124
Taoyuan (Yangmei),Taoyuan City,121.385,25.65444444,125
Taichung (Dadu),Taichung City,120.57252222,24.15265,126
Shilin,Taipei City,121.51538899999998,25.105417000000003,127
Datong,Taipei City,121.51331100000002,25.0632,128
Pingtung (Liuqiu),Pingtung County,120.37722,22.352220000000003,129
Nanzi,Kaohsiung City,120.32828899999998,22.733667,130
Qianjin,Kaohsiung City,120.288086,22.632567,131
Shilin,Taipei City,121.51538899999998,25.105417000000006,132
Pingtung (Liuqiu),Pingtung County,120.37722,22.35222000000001,133
Pingtung (Fangliao),Pingtung County,121.00379167,22.650525,134
Pingtung (Jianxing),Pingtung County,121.00379167,22.650525,135
Hunei,Kaohsiung City,120.24535,22.87985556,136
Pingtung (Fangliao),Pingtung County,120.59116667,22.37094722,137
Taoyuan (Sanmin),Taoyuan City,121.31795,25.00130833,138
Changhua (Yuanlin),Changhua County,120.58178611,23.95058333,139
Chaozhou,Pingtung County,120.54303333,22.54779444,140
Dali,Taichung City,120.677689,24.099611,141
Hsinchu (Beiqu),Hsinchu City,120.96231389,24.81953333,142
Tainan (Beimen),Tainan City,120.12444444,23.26472222,143
Changhua (Dacheng),Changhua County,120.27311,23.84313,144
Yonghe (Huanhe),New Taipei City,121.50410278,25.01231389,145
Taoyuan (Zhubei),Taoyuan City,121.24426111,25.10363611,146
Dayuan (Zhubei),Taoyuan City,121.24426111,25.10363611,147
Kaohsiung (Alian),Kaohsiung City,120.32724444,22.88545833,148
Nantou (Caotun),Nantou County,120.68786389,23.98187222,149
Changhua (Tianwei),Changhua County,120.52878611,23.89177778,150
New Taipei (Shulin),New Taipei City,120.348742,23.757547,151
Puzi,Chiayi County,120.24781000000002,23.467123,152
Taoyuan,Taoyuan City,121.304383,24.995368,153
Taixi,Yunlin County,120.202842,23.717533,154
Fugui Cape,New Taipei City,121.536763,25.298562,155
Chiayi,Chiayi City,120.440833,23.462778,156
Daliao,Kaohsiung City,120.425081,22.565747,157
Puzi,Chiayi County,120.24205556,23.47011111,158
Taoyuan (Guanyin Industrial Zone),Taoyuan City,121.12804444,25.06303889,159
Changhua (Dacheng),Changhua County,120.28181389,23.84315833,160
Tainan (Beimen),Tainan City,120.12416667,23.26541944,161
Shulin,Taoyuan City,121.12780556,25.06133333,162
Taoyuan,Taoyuan City,121.31996399999998,24.994789,163
Hsinchu (Xiangshan),Hsinchu City,120.348742,23.757547,164
Miaoli (Houlong),Miaoli County,120.348742,23.757547,165
